Day,Boksit,Izvestnyak,KoncentratZ,Okatysh,EmptyWagon,RudaZ,Ugol
23.05.2022 00:00:00,19855.3,6270.4,"","",18417,6005.8,39094.5
24.05.2022 00:00:00,24819,6271.3,"","",20179,12011.6,45430.8
25.05.2022 00:00:00,14890.1,6274,"","",16680,6007.6,38827.8
26.05.2022 00:00:00,19849.3,6269.6,"","",18293,6006.4,45405.1
27.05.2022 00:00:00,24817.6,6274.6,"","",18415,6005.8,39121.8
28.05.2022 00:00:00,19850.1,12543.5,"","",21614,6006.4,45393.4
29.05.2022 00:00:00,24819.3,6273.3,"","",18421,5818.4,39135
30.05.2022 00:00:00,14892.2,6269.2,"","",18331,12012.8,45414.1
31.05.2022 00:00:00,19856.8,6274.3,"","",18292,6007,32541.3
01.06.2022 00:00:00,29771.1,6273.8,"","",19946,"",45128.4
02.06.2022 00:00:00,29787.1,6273.5,"","",20119,"",51366.1
03.06.2022 00:00:00,9927.3,12547.6,"","",18259,"",38857.1
04.06.2022 00:00:00,19855.2,6276.6,"","",16802,"",51663.7
05.06.2022 00:00:00,19856.9,6276.8,"","",16820,"",38287.6
06.06.2022 00:00:00,24810.9,6272.4,"","",20000,"",45098.7
07.06.2022 00:00:00,19853.1,6275.5,"","",16661,"",45116.5
08.06.2022 00:00:00,14889,6270.1,"","",18426,"",45391.2
09.06.2022 00:00:00,14893.3,6273.4,"","",14842,"",39128.8
10.06.2022 00:00:00,29788.5,6272.6,"","",15013,"",51408
11.06.2022 00:00:00,14885.7,6269.8,"","",19945,"",51672.4
12.06.2022 00:00:00,24822.7,6271.2,"","",18384,"",45418.5
13.06.2022 00:00:00,29781.5,6274.1,"","",14999,"",38544.6
14.06.2022 00:00:00,19854.2,6272.5,"","",16572,"",51403.2
15.06.2022 00:00:00,19857.4,6273.3,"","",21658,"",45404.2
16.06.2022 00:00:00,14890.3,6274.7,"","",16746,"",50831.2
17.06.2022 00:00:00,19854.5,6272.9,"","",18328,"",39096.8
18.06.2022 00:00:00,14889.8,6274.4,"","",21661,"",32577.1
19.06.2022 00:00:00,24813.6,6273.4,"","",16678,"",38806.1
20.06.2022 00:00:00,19854.9,6273.7,"","",13329,"",39144.4
21.06.2022 00:00:00,14888.4,6180,"","",11651,"",39116.2
22.06.2022 00:00:00,24818.3,6273.3,"","",11627,"",25705.9
23.06.2022 00:00:00,19855.1,"","","",14928,"",45700
24.06.2022 00:00:00,19856.5,12505.8,"","",16642,"",25702.3
25.06.2022 00:00:00,19856,6273.3,"","",11748,"",45384.2
26.06.2022 00:00:00,24814.6,6270,"","",15047,"",38860.5
27.06.2022 00:00:00,19855.4,6274.5,"","",18302,"",32536.8
28.06.2022 00:00:00,14890.4,6275,"","",16588,"",32281.5
29.06.2022 00:00:00,24815.1,6273.1,"","",18277,"",51953.8
30.06.2022 00:00:00,24812.3,6167.3,"","",13282,"",32567.4
01.07.2022 00:00:00,19855.3,6270.8,4497,4492,19957,"",51660.1
02.07.2022 00:00:00,14892.6,6273.1,4494,"",16699,"",44843.3
03.07.2022 00:00:00,19854,6272.7,4497,4498,19943,"",45106.6
04.07.2022 00:00:00,14894,6271.8,8995,"",16727.4,"",38552.3
05.07.2022 00:00:00,29776.3,6273.8,4494,"",18986.4,"",51107
06.07.2022 00:00:00,14885.9,6274.9,4496,8989,21164.3,"",45113.3
07.07.2022 00:00:00,14893.6,6270.6,4495,8993,21724.8,"",44839.5
08.07.2022 00:00:00,24818.2,6272.9,"",4494,16144.4,"",51386
09.07.2022 00:00:00,19573.9,"",8990,4495,15614.1,"",32565.9
10.07.2022 00:00:00,9925.1,6270.3,8990,4493,21105.5,"",39109.3
11.07.2022 00:00:00,19756.3,12543.5,4495,4498,21102.9,"",51114.9
12.07.2022 00:00:00,9927.1,6272.4,4492,4494,17247.5,"",51410.4
13.07.2022 00:00:00,14890.2,6272.8,8990,"",14500.4,"",38254.9
14.07.2022 00:00:00,24817.4,6269.1,8991,4494,19532.4,"",38564.6
15.07.2022 00:00:00,19850.9,6273.3,"","",16063.1,"",32533.8
16.07.2022 00:00:00,9925.8,6270.8,8992,4493,21179.9,"",38556.9
17.07.2022 00:00:00,14887.3,6272.6,4495,4492,17917.8,"",38832.9
18.07.2022 00:00:00,19853.5,6271,8987,4494,15659.7,"",45692.6
19.07.2022 00:00:00,14893.4,6273,4495,4495,19028.6,"",38820.8
20.07.2022 00:00:00,14888.6,6271.1,4498,4490,18789.4,"",45416.1
21.07.2022 00:00:00,14888.3,6273.4,4495,4496,17310.2,"",32538.4
22.07.2022 00:00:00,14884.8,6276.9,4494,4493,19585.2,"",45119.8
23.07.2022 00:00:00,29779.3,"",4493,4496,23929.6,"",45400.7
24.07.2022 00:00:00,14888.2,"",8987,"",22152.7,"",45410.2
25.07.2022 00:00:00,29782.5,12544.4,4499,4494,22158,"",51964.7
26.07.2022 00:00:00,14891,6272.9,4491,4494,15617,"",38828
27.07.2022 00:00:00,24821,6273.3,4494,4497,19413.9,"",45394.4
28.07.2022 00:00:00,19850.9,12544.4,4493,4492,22446.3,"",51965
29.07.2022 00:00:00,19851.6,"",4496,4486,22096.1,"",39104.5
30.07.2022 00:00:00,24817.6,12433.7,4492,"",19445.3,"",45420.2
31.07.2022 00:00:00,24822.1,6270.8,4440,"",17682.8,"",39103.4
01.08.2022 00:00:00,9927.5,6268.8,8987,4493,20638.7,"",45686.1
02.08.2022 00:00:00,24820,6274.2,4495,4497,17282.6,"",45392
03.08.2022 00:00:00,24809.5,6269,4495,4493,13782.2,"",45407.4
04.08.2022 00:00:00,19852.9,6273.7,8988,"",20061.5,"",45689.8
05.08.2022 00:00:00,24818.9,6270.7,4493,4494,17660.4,"",45374.5
06.08.2022 00:00:00,14885.9,6270.3,4497,4494,18842.9,"",32564.7
07.08.2022 00:00:00,19848.5,6271.4,4493,4493,19451.9,"",38814.4
08.08.2022 00:00:00,14893.4,6270.7,8988,4492,17824.2,"",45422.6
09.08.2022 00:00:00,19853.6,6272.2,4493,4495,14491.9,"",38817.5
10.08.2022 00:00:00,24818.2,6268.6,8990,"",19381.4,"",39116.9
11.08.2022 00:00:00,9927.1,6268.8,4495,"",17697.5,"",39096.4
12.08.2022 00:00:00,9927.4,6273.7,4493,4493,15654.8,"",38838.1
13.08.2022 00:00:00,24812.3,6270.7,"","",19154.5,"",39096.8
14.08.2022 00:00:00,19666.5,"",8992,"",18106.8,"",45421.2
15.08.2022 00:00:00,19846.2,12540.9,8986,"",16082.2,"",45366.4
16.08.2022 00:00:00,14893.1,6271.1,4498,"",17799.5,"",38858.9
17.08.2022 00:00:00,24812,6270.7,8990,4490,22966.2,"",45681
18.08.2022 00:00:00,14887.6,"",4495,4497,16204.2,"",44809
19.08.2022 00:00:00,14893.2,12543,"","",17384.9,"",38543.1
20.08.2022 00:00:00,19852.6,"",13483,"",14436.2,"",45111
21.08.2022 00:00:00,14887.6,12544,"",4495,21422.5,"",44541.3
22.08.2022 00:00:00,9925.7,6276.2,8989,"",17184.5,"",38547.3
23.08.2022 00:00:00,9928.5,6267,8993,4495,16406.4,"",51681.9
24.08.2022 00:00:00,9930.4,6269.8,4497,4492,14404.6,"",38261
25.08.2022 00:00:00,14887.5,6273,8992,"",20511.3,"",45126
26.08.2022 00:00:00,14887.8,6271.5,4496,4496,19520,"",45386.4
27.08.2022 00:00:00,9925.5,6272,8989,"",19053.5,"",32569.5
28.08.2022 00:00:00,19855.2,6271.9,4497,4497,17286.6,"",51954.6
29.08.2022 00:00:00,19852.6,6271.1,4494,4498,17196.5,"",45406.7
30.08.2022 00:00:00,9923.1,6271.1,4496,"",19386.6,"",38836.4
31.08.2022 00:00:00,24815.9,6274.2,4411,"",19662,"",45686.2
01.09.2022 00:00:00,19256.4,6271.1,13492,4495,15549.7,"",39130.5
02.09.2022 00:00:00,9924.8,6271.9,8992,4493,16192.2,"",45116.4
03.09.2022 00:00:00,4870.1,6271.3,"","",18830.5,"",45698.3
04.09.2022 00:00:00,4966.3,6273.4,"",4495,16731.1,"",45085.3
05.09.2022 00:00:00,19853.8,6275.5,8995,"",12800.6,"",44647
06.09.2022 00:00:00,14892.5,6270.5,4494,"",20612,"",45128.1
07.09.2022 00:00:00,9925.9,6270.5,4494,"",15636.8,"",51673.1
08.09.2022 00:00:00,19851.1,6268.2,8998,8989,14541.2,"",38830.8
09.09.2022 00:00:00,14889.6,6271.2,4496,4495,15515.3,"",45434.5
10.09.2022 00:00:00,19854.9,"","",8994,20581.3,"",44525.7
11.09.2022 00:00:00,9926.2,6271.7,4494,8994,20093.4,"",45125.4
12.09.2022 00:00:00,9926.2,"",8993,"",12882.2,"",51402.9
13.09.2022 00:00:00,9924.8,6270.3,8988,8996,19274.4,"",32541.3
14.09.2022 00:00:00,14896,6270.7,"",4494,14449.5,"",38531.5
15.09.2022 00:00:00,9924.5,6272.8,13489,4496,15735.5,"",45132.6
16.09.2022 00:00:00,4965,"","","",13039.9,"",38252.5
17.09.2022 00:00:00,9928.2,6269.2,17985,"",21636.4,"",45100.8
18.09.2022 00:00:00,19851.8,12548.2,4494,"",15836.2,"",38851.8
19.09.2022 00:00:00,9922.5,6269.3,"",4493,18957.9,"",57960.2
20.09.2022 00:00:00,9928.2,"",8996,8992,19361.1,"",45126.9
21.09.2022 00:00:00,4962,12543,4496,8987,13757.2,"",44619.9
22.09.2022 00:00:00,9928.8,"","",8990,20489.4,"",45123.1
23.09.2022 00:00:00,4774.6,12545.2,4496,"",14975,"",45393.8
24.09.2022 00:00:00,4964.7,6280.6,4497,"",17669.7,"",45112.9
25.09.2022 00:00:00,4963.6,6275.5,8989,4497,18745.3,"",51197.1
26.09.2022 00:00:00,9928.6,"",8990,"",15519.5,"",45697.4
27.09.2022 00:00:00,4961.8,"","","",12778.3,"",39113.3
28.09.2022 00:00:00,4962.9,"","",8991,17375,"",39116.3
29.09.2022 00:00:00,14890.7,"",8989,"",14035.9,"",39116.3
30.09.2022 00:00:00,"","",4494,8990,15919.7,"",39095.6
01.10.2022 00:00:00,19101,"",4491,4444,15576.4,"",45698
02.10.2022 00:00:00,9953.2,6281.5,8990,4497,16746.2,"",45387
03.10.2022 00:00:00,"",6271.9,8994,8991,20068.7,"",39215.4
04.10.2022 00:00:00,9944.4,6276.1,4496,"",17241.3,"",45102.4
05.10.2022 00:00:00,49965,6276.4,8989,8994,13450.8,"",38544.6
06.10.2022 00:00:00,9936.3,6278.1,4495,4496,18346.2,"",51372.3
07.10.2022 00:00:00,4961.5,6276.8,4495,4495,14035.5,"",38526.6
08.10.2022 00:00:00,19855.7,12556.3,4497,4495,15496.9,"",45641.2
